C X Y I U X K Á F P K F T Z G U Í E L W Ó U H I Ó É É I T F
X N J P I S W A T E R R O R I Z A R Í E I S A Q K N O J Ó D
H Ó X Ú Q F Q H Ó N R Z I K R H A C L Ó K H M Y V Q E W I T

---PALAVRAS CHAVE----

POSSESSAS ACLIMATIZEMO SEGREDEIS TEMPERO ARREBATASTES BEATIFIQUEM ESCULHAMBAVAM INTERPÔS PIAR FILAREIS INFLUIRÁS SINTONIZEMOS ATERRORIZARÍEIS ENFIARÁS PERMANECEM

----RESPOSTAS----

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 A 0 0 N 0 0 0 E 0 0
0 0 0 0 0 0 0 0 0 0 P 0 0 0 0 0 0 0 0 0 R 0 0 T 0 0 0 N 0 0
0 0 0 0 0 0 0 0 0 0 O 0 0 0 0 0 0 0 0 0 R 0 0 E 0 0 0 F 0 0
0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 E 0 0 R 0 0 0 I 0 0
0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 B P 0 P 0 0 0 A 0 0
0 0 0 0 0 0 0 0 0 0 E 0 0 0 0 0 0 0 0 0 A E 0 Ô 0 0 0 R 0 0
0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 T R 0 S 0 0 0 Á 0 0
0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 S 0 A M 0 0 0 0 0 S 0 0
0 0 T 0 0 0 0 0 0 0 A 0 0 0 0 0 0 0 I 0 S A 0 0 0 0 0 0 0 0
0 0 E 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 N 0 T N 0 I 0 0 0 0 0 0
0 0 M 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T 0 E E 0 N 0 0 0 0 0 0
0 0 P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 O 0 S C 0 F 0 0 0 0 0 0
0 F E 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 N 0 0 E 0 L 0 0 0 0 0 0
0 I R 0 0 0 0 0 0 0 0 E 0 0 0 0 0 0 I 0 0 M 0 U 0 0 0 0 0 0
0 L O 0 0 0 0 0 0 0 0 G 0 0 0 0 0 0 Z 0 0 0 0 I 0 0 0 0 0 0
0 A 0 0 0 0 0 0 0 0 0 R 0 0 0 0 0 0 E 0 0 0 0 R 0 0 0 0 0 0
0 R 0 0 0 0 0 0 0 0 0 E 0 0 0 0 0 0 M 0 0 0 E Á 0 0 0 0 0 0
0 E 0 0 0 0 0 0 0 0 0 D 0 0 0 0 0 0 O 0 0 0 S S 0 0 0 0 0 0
0 I 0 0 0 0 0 0 0 0 0 E 0 0 0 0 0 0 S 0 0 0 C 0 0 0 0 0 0 0
0 S 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 U P I A R 0 0 0
0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 L 0 0 0 0 0 0 0
0 A C L I M A T I Z E M O 0 0 0 0 0 0 0 0 0 H 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 A 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 B E A T I F I Q U E M M 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 A 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 V 0 0 0 0 0 0 0
0 0 0 0 0 0 0 A T E R R O R I Z A R Í E I S A 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 M 0 0 0 0 0 0 0
